         35522063 function calls (35518133 primitive calls) in 8.703 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:254(ASTExpIsVoid)
        1    0.000    0.000    0.000    0.000 tac_objects.py:92(TACConstInt)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:288(ASTExpDynamicDispatch)
        1    0.000    0.000    0.000    0.000 tac_objects.py:20(TACPlus)
        1    0.000    0.000    0.000    0.000 asm_objects.py:82(ASMIdivL)
        1    0.000    0.000    0.000    0.000 asm_objects.py:62(ASMSubL)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:38(ASTAttrNoInit)
        1    0.000    0.000    0.000    0.000 {sys.exit}
        1    0.000    0.000    0.000    0.000 tac_objects.py:193(TACInInt)
        1    0.000    0.000    0.000    0.000 tac_objects.py:40(TACMult)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:66(ASTMethod)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:212(ASTExpTimes)
        1    0.000    0.000    0.000    0.000 asm_objects.py:50(ASMAddL)
        1    0.000    0.000    0.000    0.000 tac_objects.py:30(TACMinus)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:191(ASTExpBinaryArith)
        1    0.000    0.000    0.000    0.000 asm_objects.py:101(ASMJmpLe)
        1    0.000    0.000    0.000    0.000 asm_objects.py:74(ASMImulL)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:363(ASTExpString)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:15(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 ast_nodes.py:115(ASTExpLet)
        1    0.000    0.000    0.000    0.000 asm_objects.py:192(ASMLeave)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:308(ASTExpStaticDispatch)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:233(ASTExpLe)
        1    0.000    0.000    0.000    0.000 tac_objects.py:162(TACIsVoid)
        1    0.000    0.000    0.000    0.000 tac_objects.py:132(TACNegArith)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:351(ASTExpIdentifier)
        1    0.000    0.000    0.000    0.000 asm_objects.py:59(ASMSub)
        1    0.000    0.000    0.000    0.000 asm_objects.py:159(ASMXorL)
        1    0.000    0.000    0.000    0.000 asm_objects.py:169(ASMCltd)
        1    0.000    0.000    0.000    0.000 asm_objects.py:138(ASMCmpL)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:399(ASTExpCase)
        1    0.000    0.000    0.000    0.000 tac_objects.py:257(TACStore)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:248(ASTExpUnary)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:5(__init__)
        1    0.000    0.000    0.000    0.000 tac_objects.py:50(TACDiv)
        1    0.000    0.000    0.000    0.000 tac_objects.py:112(TACConstString)
        1    0.000    0.000    0.000    0.000 asm_objects.py:122(ASMPopQ)
        1    0.000    0.000    0.000    0.000 asm_objects.py:187(ASMRet)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:219(ASTExpDivide)
        1    0.000    0.000    0.000    0.000 asm_objects.py:105(ASMJmpEq)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:101(ASTExpAssign)
        1    0.000    0.000    0.000    0.000 tac_objects.py:71(TACCompLE)
        1    0.000    0.000    0.000    0.000 tac_objects.py:221(TACLabel)
        1    0.000    0.000    0.000    0.000 tac_objects.py:230(__init__)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:166(ASTExpWhileLoopPool)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:414(ASTExpCaseElem)
        1    0.000    0.000    0.000    0.000 asm_objects.py:164(ASMXchgL)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:97(ASTExp)
        1    0.000    0.000    0.000    0.000 asm_objects.py:47(ASMAdd)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:85(ASTFormal)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:332(ASTExpSelfDispatch)
        1    0.000    0.000    0.000    0.000 tac_objects.py:184(TACOutString)
        1    0.000    0.000    0.000    0.000 tac_objects.py:123(TACNegBool)
        1    0.000    0.000    0.000    0.000 asm_objects.py:54(ASMAddQ)
        1    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 ast_nodes.py:286(ASTExpDispatch)
        1    0.000    0.000    0.000    0.000 asm_objects.py:197(ASMComment)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:260(ASTExpTilde)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:383(ASTExpTrue)
        1    0.000    0.000    0.000    0.000 asm_objects.py:79(ASMIdiv)
        1    0.000    0.000    0.000    0.000 tac_objects.py:171(TACIOCall)
        1    0.000    0.000    0.000    0.000 asm_objects.py:146(ASMTestL)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:226(ASTExpLt)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:34(ASTFeature)
        1    0.000    0.000    0.000    0.000 asm_objects.py:35(ASMMov)
        1    0.000    0.000    0.000    0.000 tac_objects.py:213(TACJmp)
        1    0.000    0.000    0.000    0.000 tac_objects.py:209(TACControlFlow)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:373(ASTExpInteger)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:266(ASTExpNot)
        1    0.000    0.000    0.000    0.000 tac_objects.py:237(TACComment)
        1    0.000    0.000    0.000    0.000 asm_objects.py:130(ASMLabel)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:240(ASTExpEq)
        1    0.000    0.000    0.000    0.000 asm_objects.py:29(ASMSrcDestBase)
        1    0.000    0.000    0.000    0.000 tac_objects.py:81(TACCompE)
        1    0.000    0.000    0.000    0.000 tac_objects.py:201(TACInString)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:178(ASTExpNew)
        1    0.000    0.000    0.000    0.000 ast_nodes.py:205(ASTExpMinus)


